title,paragraphs
 Explain about abstract classes in java?,"Sometimes we may come across a situation where we cannot provide implementation to all the methods in a class. We want to leave the implementation to a class that extends it. In such case we declare a class as abstract.To make a class abstract we use key word abstract. Any class that contains one or more abstract methods is declared as abstract. If we don’t declare class as abstract which contains abstract methods we get compile time error. We get the following error.
“The type <class-name> must be an abstract class to define abstract methods.”
Signature ; abstract class <class-name>
{
}
For example if we take a vehicle class we cannot provide implementation to it because there may be two wheelers , four wheelers etc. At that moment we make vehicle class abstract. All the common features of vehicles are declared as abstract methods in vehicle class. Any class which extends vehicle will provide  its method implementation. It’s the responsibility of subclass to provide implementation.
The important features of abstract classes are :
1)	Abstract classes cannot be instantiated.
2)	An abstract classes contains abstract methods, concrete methods or both.
3)	Any class which extends abstract class must override all methods of abstract class.
4)	An abstract class can contain either 0 or more abstract methods.
 
Though we cannot instantiate abstract classes we can create object references . Through superclass references we can point to subclass.
"
Can we create constructor in abstract class ?,"We can create constructor in abstract class , it does’nt give any compilation error. But when we cannot instantiate class there is no use in creating a constructor for abstract class."
What are abstract methods in java?,"An abstract method is the method which does’nt have any body. Abstract method is declared with keyword abstract and semicolon in place of method body.
Signature : public abstract void <method name>(); Ex : public abstract void getDetails();
It is the responsibility of subclass to provide implementation to abstract method defined in abstract class.
"
 What is Exception  in java?,In java exception is an object. Exceptions are created when an abnormal situations are arised in our program. Exceptions can be created by JVM or by our application code. All Exception classes are defined in java.lang. In otherwords we can say Exception as run time error.
State some situations where exceptions may arise in java?,"1) Accesing an element that does not exist in array.
2) Invalid conversion of number to string and string to number.
(NumberFormatException)
3) Invalid casting of class
(Class cast Exception)
4) Trying to create object for interface or abstract class
(Instantiation Exception)"
What is Exception handling in java?,"Exception handling is a mechanism what to do when some abnormal situation arises in program. When an
exception is raised in program it leads to termination of program when it is not handled properly. The
significance of exception handling comes here in order not to terminate a program abruptly and to
continue with the rest of program normally. This can be done with help of Exception handling."
What is an eror in Java?,"Error is the subclass of Throwable class in java. When errors are caused by our program we call that as
Exception, but some times exceptions are caused due to some environment issues such as running out of
memory. In such cases we can’t handle the exceptions. Exceptions which cannot be recovered are called
as errors in java.
Ex : Out of memory issues."
What are advantages of Exception handling in java?,"1) Separating normal code from exception handling code to avoid abnormal termination of program.
2) Categorizing in to different types of Exceptions so that rather than handling all exceptions with
Exception root class we can handle with specific exceptions. It is recommended to handle exceptions with
specific Exception instead of handling with Exception root class.
3) Call stack mechanism : If a method throws an exception and it is not handled immediately, then that
exception is propagated or thrown to the caller of that method. This propogation continues till it finds an
appropriate exception handler ,if it finds handler it would be handled otherwise program terminates
abruptly."
In how many ways we can do exception handling in java?,"We can handle exceptions in either of the two ways :
1) By specifying try catch block where we can catch the exception.
2) Declaring a method with throws clause ."
List out five keywords related to Exception handling ?,"1) Try
2) Catch
3) throw
4) throws
5) finally"
Explain try and catch keywords in java?,"In try block we define all exception causing code. In java try and catch forms a unit. A catch block catches
the exception thrown by preceding try block. Catch block cannot catch an exception thrown by another try
block. If there is no exception causing code in our program or exception is not raised in our code jvm
ignores the try catch block.
Syntax :
try
{
}
Catch(Exception e)
{
}"
Can we have try block without catch block?,"Each try block requires atleast one catch block or finally block. A try block without catch or finally will
result in compiler error. We can skip either of catch or finally block but not both."
Can we have multiple catch block for a try block?,"In some cases our code may throw more than one exception. In such case we can specify two or more
catch clauses, each catch handling different type of exception. When an exception is thrown jvm checks
each catch statement in order and the first one which matches the type of exception is execution and
remaining catch blocks are skipped.
Try with multiple catch blocks is highly recommended in java.
If try with multiple catch blocks are present the order of catch blocks is very important and the order
should be from child to parent."
Explain importance of finally block in java?,"Finally block is used for cleaning up of resources such as closing connections, sockets etc. if try block
executes with no exceptions then finally is called after try block without executing catch block. If there is
exception thrown in try block finally block executes immediately after catch block.
If an exception is thrown,finally block will be executed even if the no catch block handles the exception."
Can we have any code between try and catch blocks?,"We shouldn’t declare any code between try and catch block. Catch block should immediately start after try
block.
try{
//code
}
System.out.println(“one line of code”); // illegal
catch(Exception e){
//
}"
Can we have any code between try and finally blocks?,"We shouldn’t declare any code between try and finally block. finally block should immediately start after
catch block.If there is no catch block it should immediately start after try block.
try{
//code
}
System.out.println(“one line of code”); // illegal
finally{
//
}"
Can we catch more than one exception in single catch block?,"From Java 7, we can catch more than one exception with single catch block. This type of handling reduces
the code duplication.
Note : When we catch more than one exception in single catch block , catch parameter is implicity final.
We cannot assign any value to catch parameter.
Ex : catch(ArrayIndexOutOfBoundsException || ArithmeticException e)
{
}
In the above example e is final we cannot assign any value or modify e in catch statement."
What are checked Exceptions?,"1) All the subclasses of Throwable class except error,Runtime Exception and its subclasses are checked
exceptions.
2) Checked exception should be thrown with keyword throws or should be provided try catch block, else
the program would not compile. We do get compilation error.
Examples :
1) IOException,
2) SQlException,
3) FileNotFoundException,
4) InvocationTargetException,
5) CloneNotSupportedException
6) ClassNotFoundException
7) InstantiationException"
What are unchecked exceptions in java?,"All subclasses of RuntimeException are called unchecked exceptions. These are unchecked exceptions
because compiler does not checks if a method handles or throws exceptions.
Program compiles even if we do not catch the exception or throws the exception.
If an exception occurs in the program,program terminates . It is difficult to handle these exceptions
because there may be many places causing exceptions.
Example : 1) Arithmetic Exception
3) ArrayIndexOutOfBoundsException
4) ClassCastException
5) IndexOutOfBoundException
6) NullPointerException
7) NumberFormatException
8) StringIndexOutOfBounds
9) UnsupportedOperationException"
What is default Exception handling in java?,"When JVM detects exception causing code, it constructs a new exception handling object by including the
following information.
1) Name of Exception
2) Description about the Exception
3) Location of Exception.
After creation of object by JVM it checks whether there is exception handling code or not. If there is
exception handling code then exception handles and continues the program. If there is no exception
handling code JVM give the responsibility of exception handling to default handler and terminates
abruptly.
Default Exception handler displays description of exception,prints the stacktrace and location of exception
and terminates the program.
Note : The main disadvantage of this default exception handling is program terminates abruptly."
Explain throw keyword in java?,"Generally JVM throws the exception and we handle the exceptions by using try catch block. But there are
situations where we have to throw userdefined exceptions or runtime exceptions. In such case we use
throw keyword to throw exception explicitly.
Syntax : throw throwableInstance;
Throwable instance must be of type throwable or any of its subclasses.
After the throw statement execution stops and subsequent statements are not executed. Once exception
object is thrown JVM checks is there any catch block to handle the exception. If not then the next catch
statement till it finds the appropriate handler. If appropriate handler is not found ,then default exception
handler halts the program and prints the description and location of exception.
In general we use throw keyword for throwing userdefined or customized exception."
Can we write any code after throw statement?,"After throw statement jvm stop execution and subsequent statements are not executed. If we try to write
any statement after throw we do get compile time error saying unreachable code."
Explain importance of throws keyword in java?,"Throws statement is used at the end of method signature to indicate that an exception of a given type
may be thrown from the method.
The main purpose of throws keyword is to delegate responsibility of exception handling to the caller
methods, in the case of checked exception.
In the case of unchecked exceptions, it is not required to use throws keyword.
We can use throws keyword only for throwable types otherwise compile time error saying incompatible
types.
An error is unchecked , it is not required to handle by try catch or by throws.
Syntax : Class Test{
Public static void main(String args[]) throws IE
{
}
}
Note : The method should throw only checked exceptions and subclasses of checked exceptions.
It is not recommended to specify exception superclasses in the throws class when the actual exceptions
thrown in the method are instances of their subclass."
Explain the importance of finally over return statement?,"finally block is more important than return statement when both are present in a program. For example if
there is any return statement present inside try or catch block , and finally block is also present first
finally statement will be executed and then return statement will be considered."
Explain a situation where finally block will not be executed?,"Finally block will not be executed whenever jvm shutdowns. If we use system.exit(0) in try statement
finally block if present will not be executed."
Can we use catch statement for checked exceptions?,"If there is no chance of raising an exception in our code then we can’t declare catch block for handling
checked exceptions .This raises compile time error if we try to handle checked exceptions when there is
no possibility of causing exception."
What are user defined exceptions?,"To create customized error messages we use userdefined exceptions. We can create user defined
exceptions as checked or unchecked exceptions.
We can create user defined exceptions that extend Exception class or subclasses of checked exceptions so
that userdefined exception becomes checked.
Userdefined exceptions can extend RuntimeException to create userdefined unchecked exceptions.
Note : It is recommended to keep our customized exception class as unchecked,i.e we need to extend
Runtime Exception class but not Excpetion class."
Can we nested try statements in java?,"Yes try statements can be nested. We can declare try statements inside the block of another try
statement."
Explain when ClassNotFoundException will be raised ?,"When JVM tries to load a class by its string name, and couldn’t able to find the class
classNotFoundException will be thrown. An example for this exception is when class name is misspelled
and when we try to load the class by string name hence class cannot be found which raises
ClassNotFoundException."
Explain when NoClassDefFoundError will be raised ?,"This error is thrown when JVM tries to load the class but no definition for that class is found
NoClassDefFoundError will occur. The class may exist at compile time but unable to find at runtime. This
might be due to misspelled classname at command line, or classpath is not specified properly , or the
class file with byte code is no longer available."
What is process ?,"A process is a program in execution.
Every process have their own memory space.Process are heavy weight and requires their own address
space. One or more threads make a process."
What is thread in java?,"Thread is separate path of execution in program.
Threads are
1) Light weight
2) They share the same address space.
3) creating thread is simple when compared to process because creating thread requires less resources
when compared to process
4) Threads exists in process. A process have atleast one thread."
What is multitasking ?,"Multitasking means performing more than one activity at a time on the computer. Example Using
spreadsheet and using calculator at same time."
What are different types of multitasking?,"There are two different types of multitasking :
23
1) Process based multitasking
2) Thread based multitasking
Process based multitasking : It allows to run two or more programs concurrently. In process
based multitasking a process is the smallest part of code .
Example : Running Ms word and Ms powerpoint at a time.
Thread based multitasking : It allows to run parts of a program to run concurrently.
Example : Formatting the text and printing word document at same time .
Java supports thread based multitasking and provides built in support for multithreading."
What are the benefits of multithreaded programming?,"Multithreading enables to use idle time of cpu to another thread which results in faster execution of
program. In single threaded environment each task has to be completed before proceeding to next task
making cpu idle."
Explain thread in java?,"1) Thread is independent path of execution with in a program.
2) A thread consists of three parts Virtual Cpu, Code and data.
3) At run time threads share code and data i.e they use same address space.
4) Every thread in java is an object of java.lang.Thread class."
List Java API that supports threads?,"java.lang.Thread : This is one of the way to create a thread. By extending Thread class and overriding
run() we can create thread in java.
java.lang.Runnable : Runnable is an interface in java. By implementing runnable interface and overriding
run() we can create thread in java.
java.lang.Object : Object class is the super class for all the classes in java. In object class we have three
methods wait(), notify(), notifyAll() that supports threads.
java.util.concurrent : This package has classes and interfaces that supports concurrent programming.
Ex : Executor interface, Future task class etc."
Explain about main thread in java?,"Main thread is the first thread that starts immediately after a program is started.
Main thread is important because :
1) All the child threads spawn from main thread.
2) Main method is the last thread to finish execution.
When JVM calls main method() it starts a new thread. Main() method is temporarily stopped while the
new thread starts running."
In how many ways we can create threads in java?,"We can create threads in java by any of the two ways :
1) By extending Thread class
2) By Implementing Runnable interface."
Explain creating threads by implementing Runnable class?,"This is first and foremost way to create threads . By implementing runnable interface and implementing
run() method we can create new thread.
Method signature : public void run()
Run is the starting point for execution for another thread within our program.
Example :
public class MyClass implements Runnable {
@Override
public void run() {
// T
}
}"
Explain creating threads by extending Thread class ?,"We can create a thread by extending Thread class. The class which extends Thread class must override
the run() method.
Example :
public class MyClass extends Thread {
@Override
public void run() {
24
// Starting point of Execution
}
}"
Which is the best approach for creating thread ?,"The best way for creating threads is to implement runnable interface.
When we extend Thread class we can’t extend any other class.
When we create thread by implementing runnable interface we can implement Runnable interface. In
both ways we have to implement run() method."
Explain the importance of thread scheduler in java?,"Thread scheduler is part of JVM use to determine which thread to run at this moment when there are
multiple threads. Only threads in runnable state are choosen by scheduler.
Thread scheduler first allocates the processor time to the higher priority threads. To allocate
microprocessor time in between the threads of the same priority, thread scheduler follows round robin
fasion."
Explain the life cycle of thread?,"A thread can be in any of the five states :
1) New : When the instance of thread is created it will be in New state.
Ex : Thread t= new Thread();
In the above example t is in new state. The thread is created but not in active state to make it active we
need to call start() method on it.
2) Runnable state : A thread can be in the runnable state in either of the following two ways :
a) When the start method is invoked or
b) A thread can also be in runnable state after coming back from blocked or sleeping or waiting state.
3) Running state : If thread scheduler allocates cpu time, then the thread will be in running state.
4) Waited /Blocking/Sleeping state:
In this state the thread can be made temporarily inactive for a short period of time. A thread can be in
the above state in any of the following ways:
1) The thread waits to acquire lock of an object.
2) The thread waits for another thread to complete.
3) The thread waits for notification of other thread.
5) Dead State : A thread is in dead state when thread’s run method execution is complete. It dies
automatically when thread’s run method execution is completed and the thread object will be garbage
collected."
Can we restart a dead thread in java?,"If we try to restart a dead thread by using start method we will get run time exception since the thread is
not alive."
Can one thread block the other thread?,No one thread cannot block the other thread in java. It can block the current thread that is running.
Can we restart a thread already started in java?,"A thread can be started in java using start() method in java. If we call start method second time once it is
started it will cause RunTimeException(IllegalThreadStateException). A runnable thread cannot be
restarted."
What happens if we don’t override run method ?,"If we don’t override run method .Then default implementation of Thread class run() method will be
executed and hence the thread will never be in runnable state."
Can we overload run() method in java?,"We can overload run method but Thread class start method will always cal run method with no
arguments. But the overloaded method will not be called by start method we have to explicitly call this
start() method."
What is a lock or purpose of locks in java?,"Lock also called monitor is used to prevent access to a shared resource by multiple threads.
A lock is associated to shared resource. Whenever a thread wants to access a shared resource if must first
acquire a lock . If already a lock has been acquired by other it can’t access that shared resource. At this moment the thread has to wait until another thread releases the lock on shared resource. To lock an
object we use synchronization in java.
A lock protects section of code allowing only one thread to execute at at a time."
In how many ways we can do synchronization in java?,"There are two ways to do synchronization in java:
1) Synchronized methods
2) Synchronized blocks
To do synchronization we use synchronize keyword."
What are synchronized methods ?,"If we want a method of object to be accessed by single thread at a time we declare that method with
synchronized keyword.
Signature :
public synchronized void methodName(){}
To execute synchronized method first lock has to be acquired on that object. Once synchronized method
is called lock will be automatically acquired on that method when no other thread has lock on that
method. once lock has been acquired then synchronized method gets executed. Once synchronized
method execution completes automatically lock will be released. The prerequisite to execute a
synchronized method is to acquire lock before method execution. If there is a lock already acquired by
any other thread it waits till the other thread completes."
When do we use synchronized methods in java?,"If multiple threads tries to access a method where method can manipulate the state of object , in such
scenario we can declare a method as synchronized."
"When a thread is executing synchronized methods , then is it possible to execute other
synchronized methods simultaneously by other","No it is not possible to execute synchronized methods by other threads when a thread is inside a
synchronized method."
What are synchronized blocks in java?,"Synchronizing few lines of code rather than complete method with the help of synchronized keyword are
called synchronized blocks.
Signature :
Synchronized (object reference){// code}"
When do we use synchronized blocks and advantages of using synchronized blocks?,"If very few lines of code requires synchronization then it is recommended to use synchronized blocks. The
main advantage of synchronized blocks over synchronized methods is it reduces the waiting time of
threads and improves performance of the system."
Can we synchronize static methods in java?,"Every class in java has a unique lock associated with it. If a thread wants to execute static synchronize
method it need to acquire first class level lock. When a thread was executing static synchronized method
no other thread can execute static synchronized method of class since lock is acquired on class.
But it can execute the following methods simultaneously :
1) Normal static methods
2) Normal instance methods
3) synchronize instance methods
Signature :
synchronized(Classname.class){}"
